context,answer,gold_question,gpt3_zero_shot,gpt3_zero_shot_bleu,gpt3_few_shot,gpt3_few_shot_bleu,llama2_zero_shot,llama2_zero_shot_bleu,llama2_few_shot,llama2_few_shot_bleu
"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",Denver Broncos,Who won Super Bowl 50?,Which team won Super Bowl 50?,0.6605598372529362,Which team won Super Bowl 50?,0.6605598372529362,Who won Super Bowl 50?,1.0,Who won Super Bowl 50?,1.0
"Another of the Egyptian groups which employed violence in their struggle for Islamic order was al-Gama'a al-Islamiyya (Islamic Group). Victims of their campaign against the Egyptian state in the 1990s included the head of the counter-terrorism police (Major General Raouf Khayrat), a parliamentary speaker (Rifaat al-Mahgoub), dozens of European tourists and Egyptian bystanders, and over 100 Egyptian police. Ultimately the campaign to overthrow the government was unsuccessful, and the major jihadi group, Jamaa Islamiya (or al-Gama'a al-Islamiyya), renounced violence in 2003. Other lesser known groups include the Islamic Liberation Party, Salvation from Hell and Takfir wal-Hijra, and these groups have variously been involved in activities such as attempted assassinations of political figures, arson of video shops and attempted takeovers of government buildings.",in 2003,When did Jamaa Islamiya renounce violence?,"When did the major jihadi group, Jamaa Islamiya (or al-Gama'a al-Islamiyya), renounce violence?",0.4160932190923796,"When did the major jihadi group, Jamaa Islamiya, renounce violence?",0.5821963300654638,"When did the major jihadi group, Jamaa Islamiya (or al-Gama'a al-Islamiyya), renounce violence?",0.4160932190923796,"When did the major jihadi group, Jamaa Islamiya (or al-Gama'a al-Islamiyya), renounce violence?",0.4160932190923796
"Some Huguenots settled in Bedfordshire, one of the main centres of the British lace industry at the time. Although 19th century sources have asserted that some of these refugees were lacemakers and contributed to the East Midlands lace industry, this is contentious. The only reference to immigrant lacemakers in this period is of twenty-five widows who settled in Dover, and there is no contemporary documentation to support there being Huguenot lacemakers in Bedfordshire. The implication that the style of lace known as 'Bucks Point' demonstrates a Huguenot influence, being a ""combination of Mechlin patterns on Lille ground"", is fallacious: what is now known as Mechlin lace did not develop until first half of the eighteenth century and lace with Mechlin patterns and Lille ground did not appear until the end of the 18th century, when it was widely copied throughout Europe.",'Bucks Point',What style of lace is erroneously believed by some to have Huguenot influence?,"What style of lace is often incorrectly attributed to having a Huguenot influence, despite evidence to the contrary?",0.4543933296892964,What style of lace is often mistakenly believed to have been influenced by Huguenot lacemakers in Bedfordshire?,0.555375358853379,"What is the name of the lace style that is falsely attributed to Huguenot influence in Bedfordshire, despite not appearing until the end of the 18th century?",0.3009700373542559,"What style of lace is believed to have been influenced by Huguenot lacemakers in Bedfordshire, but is actually a combination of Mechlin patterns on Lille ground that did not develop until the 18th century?",0.30239911731139446
"In the immediate post-war years there was little money available for other than essential repairs. The 1950s and early 1960s saw little in the way of building work; the first major work was the creation of new storage space for books in the Art Library in 1966 and 1967. This involved flooring over Aston Webb's main hall to form the book stacks, with a new medieval gallery on the ground floor (now the shop, opened in 2006). Then the lower ground-floor galleries in the south-west part of the museum were redesigned, opening in 1978 to form the new galleries covering Continental art 1600–1800 (late Renaissance, Baroque through Rococo and neo-Classical). In 1974 the museum had acquired what is now the Henry Cole wing from the Royal College of Science. In order to adapt the building as galleries, all the Victorian interiors except for the staircase were recast during the remodelling. To link this to the rest of the museum, a new entrance building was constructed on the site of the former boiler house, the intended site of the Spiral, between 1978 and 1982. This building is of concrete and very functional, the only embellishment being the iron gates by Christopher Hay and Douglas Coyne of the Royal College of Art. These are set in the columned screen wall designed by Aston Webb that forms the façade.",the Spiral,What was intended for the site of the former boiler house?,What was the intended site of the new entrance building constructed between 1978 and 1982 at the museum?,0.33651952210832636,What was the intended site of the new entrance building constructed between 1978 and 1982 at the museum?,0.33651952210832636,"What was the name of the planned entrance building that was never constructed, and what was it replaced with?",0.25225166194771487,What was the intended site of the Spiral?,0.5166096937398221
Luther is honoured on 18 February with a commemoration in the Lutheran Calendar of Saints and in the Episcopal (United States) Calendar of Saints. In the Church of England's Calendar of Saints he is commemorated on 31 October.,Church of England's Calendar of Saints,On what English calendar is Luther commemorated?,Which calendar commemorates Luther on 31 October?,0.6213938706989564,On what calendar is Luther commemorated on 31 October?,0.7122669432181177,What calendar commemorates Luther on October 31st?,0.6241222560313034,"Sure, here's a question that can be answered by the answer based on the context:

Question: On which day is Luther commemorated in the Church of England's Calendar of Saints?

Answer: October 31st.",0.19764858177156053
"The Lunar Module (LM) was designed to descend from lunar orbit to land two astronauts on the Moon and take them back to orbit to rendezvous with the Command Module. Not designed to fly through the Earth's atmosphere or return to Earth, its fuselage was designed totally without aerodynamic considerations, and was of an extremely lightweight construction. It consisted of separate descent and ascent stages, each with its own engine. The descent stage contained storage for the descent propellant, surface stay consumables, and surface exploration equipment. The ascent stage contained the crew cabin, ascent propellant, and a reaction control system. The initial LM model weighed approximately 33,300 pounds (15,100 kg), and allowed surface stays up to around 34 hours. An Extended Lunar Module weighed over 36,200 pounds (16,400 kg), and allowed surface stays of over 3 days.","15,100 kg",The initial LM weighed how much in kgs?,How much did the initial Lunar Module model weigh?,0.4733321174169819,What was the weight of the initial Lunar Module model?,0.34115708007679457,What was the approximate weight of the initial Lunar Module model?,0.2796842457966537,What was the approximate weight of the initial Lunar Module model?,0.2796842457966537
"The other major method of producing O
2 gas involves passing a stream of clean, dry air through one bed of a pair of identical zeolite molecular sieves, which absorbs the nitrogen and delivers a gas stream that is 90% to 93% O
2. Simultaneously, nitrogen gas is released from the other nitrogen-saturated zeolite bed, by reducing the chamber operating pressure and diverting part of the oxygen gas from the producer bed through it, in the reverse direction of flow. After a set cycle time the operation of the two beds is interchanged, thereby allowing for a continuous supply of gaseous oxygen to be pumped through a pipeline. This is known as pressure swing adsorption. Oxygen gas is increasingly obtained by these non-cryogenic technologies (see also the related vacuum swing adsorption).",non-cryogenic,What type of technology is the non organic separating of gases?,What type of technology is used to obtain oxygen gas in a non-cryogenic manner?,0.49362512676264597,What type of technologies are increasingly used to obtain oxygen gas?,0.4792364425549489,"What type of technology is used to produce oxygen gas in the described process, which involves passing air through zeolite molecular sieves and pressure swing adsorption?",0.23982524091914673,What type of technologies are used to obtain oxygen gas in a continuous supply?,0.41563557119528544
"A simple case of dynamic equilibrium occurs in constant velocity motion across a surface with kinetic friction. In such a situation, a force is applied in the direction of motion while the kinetic friction force exactly opposes the applied force. This results in zero net force, but since the object started with a non-zero velocity, it continues to move with a non-zero velocity. Aristotle misinterpreted this motion as being caused by the applied force. However, when kinetic friction is taken into consideration it is clear that there is no net force causing constant velocity motion.",dynamic equilibrium,What occurs when traveling across a surface at a constant velocity with regard to friction?,"What term describes the situation where opposing forces are balanced, resulting in no net force and constant velocity motion?",0.3501197011692887,"What is the term for the situation where a force is applied in the direction of motion while kinetic friction force opposes it, resulting in zero net force?",0.18913189328319174,"What is the term used to describe the state where a force is applied in the direction of motion while the kinetic friction force exactly opposes the applied force, resulting in zero net force and constant velocity motion?",0.23553423397307977,"Sure, here are the questions based on the given context and answers:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. What is the misinterpretation of motion according to Aristotle?",0.08617547821222427
"According to PolitiFact the top 400 richest Americans ""have more wealth than half of all Americans combined."" According to the New York Times on July 22, 2014, the ""richest 1 percent in the United States now own more wealth than the bottom 90 percent"". Inherited wealth may help explain why many Americans who have become rich may have had a ""substantial head start"". In September 2012, according to the Institute for Policy Studies, ""over 60 percent"" of the Forbes richest 400 Americans ""grew up in substantial privilege"".",New York Times,What publication printed that the wealthiest 1% have more money than those in the bottom 90%?,What source reported that the richest 1 percent in the United States now own more wealth than the bottom 90 percent?,0.4946820511524538,Which publication reported that the richest 1 percent in the United States own more wealth than the bottom 90 percent?,0.5488383187044139,What publication reported that the richest 1 percent in the United States now own more wealth than the bottom 90 percent?,0.5567408161677679,What publication reported that the richest 1 percent in the United States now own more wealth than the bottom 90 percent?,0.5567408161677679
"The Mongol army under Genghis Khan, generals and his sons crossed the Tien Shan mountains by entering the area controlled by the Khwarezmian Empire. After compiling intelligence from many sources Genghis Khan carefully prepared his army, which was divided into three groups. His son Jochi led the first division into the northeast of Khwarezmia. The second division under Jebe marched secretly to the southeast part of Khwarzemia to form, with the first division, a pincer attack on Samarkand. The third division under Genghis Khan and Tolui marched to the northwest and attacked Khwarzemia from that direction.",three,How many divisions comprised Genghis Khan's army in Khwarezmia?,How many divisions was the Mongol army under Genghis Khan divided into when they crossed the Tien Shan mountains?,0.36288119224739934,How many divisions was the Mongol army under Genghis Khan divided into when they entered the area controlled by the Khwarezmian Empire?,0.36047775036808255,How many divisions did Genghis Khan's army divide into during their attack on Khwarezmia?,0.5909024699776384,"Sure, here are the questions based on the context and answers provided:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. How many divisions did the Mongol army under Genghis Khan have when they crossed the Tien Shan mountains?",0.11193129788544051
"The name Rijn, from here on, is used only for smaller streams farther to the north, which together formed the main river Rhine in Roman times. Though they retained the name, these streams no longer carry water from the Rhine, but are used for draining the surrounding land and polders. From Wijk bij Duurstede, the old north branch of the Rhine is called Kromme Rijn (""Bent Rhine"") past Utrecht, first Leidse Rijn (""Rhine of Leiden"") and then, Oude Rijn (""Old Rhine""). The latter flows west into a sluice at Katwijk, where its waters can be discharged into the North Sea. This branch once formed the line along which the Limes Germanicus were built. During periods of lower sea levels within the various ice ages, the Rhine took a left turn, creating the Channel River, the course of which now lies below the English Channel.",Old Rhine,What part of the Rhine flows west at Katwijk?,What is the name of the branch of the Rhine that flows west into a sluice at Katwijk and can be discharged into the North Sea?,0.2958403022778504,What is the name of the branch of the Rhine that flows west into a sluice at Katwijk?,0.4452337342974109,"What is the name of the branch of the Rhine that flows west into a sluice at Katwijk, where its waters can be discharged into the North Sea?",0.2659338088818166,What is the name of the branch of the Rhine that flows west into a sluice at Katwijk?,0.4452337342974109
"The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created the 50 fund as its philanthropic initiative and focuses on providing grants to aid with youth development, community investment and sustainable environments.",the 50 fund,What is the name of the Host Committee's charitable initiative?,"What is the name of the philanthropic initiative created by the Super Bowl 50 Host Committee to provide grants for youth development, community investment, and sustainable environments in the Bay Area?",0.2568290191612697,What is the name of the philanthropic initiative created by the Super Bowl 50 Host Committee?,0.5293530548804667,"What is the name of the philanthropic initiative created by the Super Bowl 50 Host Committee to provide grants for youth development, community investment, and sustainable environments in the Bay Area?",0.2568290191612697,What is the name of the philanthropic initiative created by the Super Bowl 50 Host Committee?,0.5293530548804667
"Helper T cells express T cell receptors (TCR) that recognize antigen bound to Class II MHC molecules. The MHC:antigen complex is also recognized by the helper cell's CD4 co-receptor, which recruits molecules inside the T cell (e.g., Lck) that are responsible for the T cell's activation. Helper T cells have a weaker association with the MHC:antigen complex than observed for killer T cells, meaning many receptors (around 200–300) on the helper T cell must be bound by an MHC:antigen in order to activate the helper cell, while killer T cells can be activated by engagement of a single MHC:antigen molecule. Helper T cell activation also requires longer duration of engagement with an antigen-presenting cell. The activation of a resting helper T cell causes it to release cytokines that influence the activity of many cell types. Cytokine signals produced by helper T cells enhance the microbicidal function of macrophages and the activity of killer T cells. In addition, helper T cell activation causes an upregulation of molecules expressed on the T cell's surface, such as CD40 ligand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.",cytokines,Activation of a helper T cell causes it to release what chemicals that influence cell activity?,What signals released by activated helper T cells influence the activity of many cell types?,0.6035764386689002,What signals released by activated helper T cells influence the activity of many cell types?,0.6035764386689002,"What type of signaling molecules are released by activated helper T cells that influence the activity of various immune cells, including macrophages, killer T cells, and B cells?",0.3631349085773659,What do helper T cells release that influence the activity of many cell types?,0.5749620582546408
"The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn. The IJssel branch carries one ninth of the water flow of the Rhine north into the IJsselmeer (a former bay), while the Nederrijn carries approximately two ninths of the flow west along a route parallel to the Waal. However, at Wijk bij Duurstede, the Nederrijn changes its name and becomes the Lek. It flows farther west, to rejoin the Noord River into the Nieuwe Maas and to the North Sea.",Lek,What does the Nederrikn's name change into?,What river does the Nederrijn become after changing its name at Wijk bij Duurstede?,0.37656349336170825,What river does the Nederrijn become after changing its name at Wijk bij Duurstede?,0.37656349336170825,What is the name of the river that flows west from the Nederrijn at Wijk bij Duurstede and rejoins the Noord River before emptying into the North Sea?,0.17477901894144238,What is the name of the river that flows west from the Nederrijn and rejoins the Noord River before flowing into the North Sea?,0.20553982586669645
"Some forms of civil disobedience, such as illegal boycotts, refusals to pay taxes, draft dodging, distributed denial-of-service attacks, and sit-ins, make it more difficult for a system to function. In this way, they might be considered coercive. Brownlee notes that ""although civil disobedients are constrained in their use of coercion by their conscientious aim to engage in moral dialogue, nevertheless they may find it necessary to employ limited coercion in order to get their issue onto the table."" The Plowshares organization temporarily closed GCSB Waihopai by padlocking the gates and using sickles to deflate one of the large domes covering two satellite dishes.",using sickles to deflate one of the large domes covering two satellite dishes,Name the other way that the Plowshares organization temporarily closed?,What method did the Plowshares organization use to temporarily close GCSB Waihopai?,0.6232787917185393,What method did the Plowshares organization use to temporarily close GCSB Waihopai?,0.6232787917185393,What action did the Plowshares organization take to temporarily close GCSB Waihopai?,0.6149127374611922,What action did the Plowshares organization take to temporarily close GCSB Waihopai?,0.6149127374611922
"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Miller stripped the ball away from Newton, and after several players dove for it, it took a long bounce backwards and was recovered by Ward, who returned it five yards to the Panthers 4-yard line. Although several players dove into the pile to attempt to recover it, Newton did not and his lack of aggression later earned him heavy criticism. Meanwhile, Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback Josh Norman gave the Broncos a new set of downs. Then Anderson scored on a 2-yard touchdown run and Manning completed a pass to Bennie Fowler for a 2-point conversion, giving Denver a 24–10 lead with 3:08 left and essentially putting the game away. Carolina had two more drives, but failed to get a first down on each one.",24,On what yard line did Carolina begin with 4:51 left in the game?,What was the score after Anderson scored on a 2-yard touchdown run and Manning completed a pass to Bennie Fowler for a 2-point conversion?,0.10886739762416854,What was the score when Denver took a 24-10 lead with 3:08 left in the game?,0.38623312229739615,What was the score of the game with 3:08 left in regulation after Anderson's 2-yard touchdown run and Manning's 2-point conversion pass to Fowler?,0.2110220617775948,"Sure, here are the questions based on the context and answers provided:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. What was the score of the game between Denver and Carolina with 3:08 left in regulation?",0.11479921240396072
"Each year, the southern California area has about 10,000 earthquakes. Nearly all of them are so small that they are not felt. Only several hundred are greater than magnitude 3.0, and only about 15–20 are greater than magnitude 4.0. The magnitude 6.7 1994 Northridge earthquake was particularly destructive, causing a substantial number of deaths, injuries, and structural collapses. It caused the most property damage of any earthquake in U.S. history, estimated at over $20 billion.",6.7,What magnitude was the 1994 Northridge earthquake?,What was the magnitude of the 1994 Northridge earthquake?,0.8455577217037118,What was the magnitude of the 1994 Northridge earthquake?,0.8455577217037118,What was the magnitude of the 1994 Northridge earthquake that caused significant damage and loss in southern California?,0.38946572394225915,What was the magnitude of the 1994 Northridge earthquake?,0.8455577217037118
"When a consolidation referendum was held in 1967, voters approved the plan. On October 1, 1968, the governments merged to create the Consolidated City of Jacksonville. Fire, police, health & welfare, recreation, public works, and housing & urban development were all combined under the new government. In honor of the occasion, then-Mayor Hans Tanzler posed with actress Lee Meredith behind a sign marking the new border of the ""Bold New City of the South"" at Florida 13 and Julington Creek. The Better Jacksonville Plan, promoted as a blueprint for Jacksonville's future and approved by Jacksonville voters in 2000, authorized a half-penny sales tax. This would generate most of the revenue required for the $2.25 billion package of major projects that included road & infrastructure improvements, environmental preservation, targeted economic development and new or improved public facilities.",Hans Tanzler,Who was Jacksonville's mayor at the time of the consolidation?,"Who posed with actress Lee Meredith behind a sign marking the new border of the ""Bold New City of the South"" at Florida 13 and Julington Creek?",0.1581193617163293,Who was the mayor of Jacksonville during the consolidation referendum in 1967?,0.6032727576045652,Who was the mayor of Jacksonville when the governments merged to create the Consolidated City of Jacksonville in 1968?,0.3749432534817998,"Who posed with actress Lee Meredith behind a sign marking the new border of the ""Bold New City of the South"" at Florida 13 and Julington Creek?",0.1581193617163293
"The FSO Car Factory was established in 1951. A number of vehicles have been assembled there over the decades, including the Warszawa, Syrena, Fiat 125p (under license from Fiat, later renamed FSO 125p when the license expired) and the Polonez. The last two models listed were also sent abroad and assembled in a number of other countries, including Egypt and Colombia. In 1995 the factory was purchased by the South Korean car manufacturer Daewoo, which assembled the Tico, Espero, Nubia, Tacuma, Leganza, Lanos and Matiz there for the European market. In 2005 the factory was sold to AvtoZAZ, a Ukrainian car manufacturer which assembled there the Chevrolet Aveo. The license for the production of the Aveo expired in February 2011 and has since not been renewed. Currently the company is defunct.",Chevrolet Aveo,What did the license to build this type of car expire in 2011?,What model did the Ukrainian car manufacturer AvtoZAZ assemble at the FSO Car Factory after purchasing it in 2005?,0.2207086714315723,What model did AvtoZAZ assemble at the FSO Car Factory after Daewoo?,0.2189036283807923,"What vehicle was assembled at the FSO Car Factory under license from General Motors, and whose production license expired in February 2011?",0.2348977528020867,"Sure, here are the questions based on the given context and answers:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. What was the last model of car assembled at the FSO Car Factory before it went defunct?",0.09229768481278214
"EU Competition law has its origins in the European Coal and Steel Community (ECSC) agreement between France, Italy, Belgium, the Netherlands, Luxembourg and Germany in 1951 following the second World War. The agreement aimed to prevent Germany from re-establishing dominance in the production of coal and steel as members felt that its dominance had contributed to the outbreak of the war. Article 65 of the agreement banned cartels and article 66 made provisions for concentrations, or mergers, and the abuse of a dominant position by companies. This was the first time that competition law principles were included in a plurilateral regional agreement and established the trans-European model of competition law. In 1957 competition rules were included in the Treaty of Rome, also known as the EC Treaty, which established the European Economic Community (EEC). The Treaty of Rome established the enactment of competition law as one of the main aims of the EEC through the ""institution of a system ensuring that competition in the common market is not distorted"". The two central provisions on EU competition law on companies were established in article 85, which prohibited anti-competitive agreements, subject to some exemptions, and article 86 prohibiting the abuse of dominant position. The treaty also established principles on competition law for member states, with article 90 covering public undertakings, and article 92 making provisions on state aid. Regulations on mergers were not included as member states could not establish consensus on the issue at the time.",1951,What year was the ECSC agreement established?,In what year did the European Coal and Steel Community (ECSC) agreement establish the origins of EU Competition law?,0.3004039588419509,In what year did the European Coal and Steel Community agreement originate?,0.3231853057651573,"What was the year when the European Coal and Steel Community (ECSC) agreement was signed between France, Italy, Belgium, the Netherlands, Luxembourg and Germany, marking the beginning of EU Competition law?",0.1509845980910965,What year did the European Coal and Steel Community (ECSC) agreement between several European countries establish competition law principles?,0.24399282823789414
"Luther had been suffering from ill health for years, including Ménière's disease, vertigo, fainting, tinnitus, and a cataract in one eye. From 1531 to 1546, his health deteriorated further. The years of struggle with Rome, the antagonisms with and among his fellow reformers, and the scandal which ensued from the bigamy of the Philip of Hesse incident, in which Luther had played a leading role, all may have contributed. In 1536, he began to suffer from kidney and bladder stones, and arthritis, and an ear infection ruptured an ear drum. In December 1544, he began to feel the effects of angina.",kidney and bladder stones,What did Luther begin to experience in 1536?,What medical condition did Luther begin to suffer from in 1536?,0.513668564036291,What did Luther begin to suffer from in 1536?,0.726822222964718,What health issue did Luther begin to suffer from in 1536?,0.5597773554295752,"Sure, here are the questions based on the context and answers provided:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. What health issues did Luther suffer from in the 1530s and 1540s?",0.0800644009154569
"Like much of the south Atlantic region of the United States, Jacksonville has a humid subtropical climate (Köppen Cfa), with mild weather during winters and hot and humid weather during summers. Seasonal rainfall is concentrated in the warmest months from May through September, while the driest months are from November through April. Due to Jacksonville's low latitude and coastal location, the city sees very little cold weather, and winters are typically mild and sunny. Summers can be hot and wet, and summer thunderstorms with torrential but brief downpours are common.",low latitude,"Aside from being located on the coast, what contributes to Jacksonville's lack of cold weather?",What is one of the reasons why Jacksonville sees very little cold weather?,0.42039391428377487,What geographical factor contributes to Jacksonville's mild winters and hot summers?,0.44802049713067443,What is the reason for Jacksonville's mild winters and hot and humid summers?,0.3265128284078229,"What is the reason for the mild winters in Jacksonville?

The answer can be found in the second sentence of the given context: ""Like much of the south Atlantic region of the United States, Jacksonville has a humid subtropical climate (Köppen Cfa), with mild weather during winters and hot and humid weather during summers."" The phrase ""low latitude"" is mentioned in the third sentence, which explains why Jacksonville has mild winters. Therefore, the question that can be answered by the answer ""low latitude"" is: ""What is the reason for the mild winters in Jacksonville?""",0.09653728761578823
"The third assessment report (TAR) prominently featured a graph labeled ""Millennial Northern Hemisphere temperature reconstruction"" based on a 1999 paper by Michael E. Mann, Raymond S. Bradley and Malcolm K. Hughes (MBH99), which has been referred to as the ""hockey stick graph"". This graph extended the similar graph in Figure 3.20 from the IPCC Second Assessment Report of 1995, and differed from a schematic in the first assessment report that lacked temperature units, but appeared to depict larger global temperature variations over the past 1000 years, and higher temperatures during the Medieval Warm Period than the mid 20th century. The schematic was not an actual plot of data, and was based on a diagram of temperatures in central England, with temperatures increased on the basis of documentary evidence of Medieval vineyards in England. Even with this increase, the maximum it showed for the Medieval Warm Period did not reach temperatures recorded in central England in 2007. The MBH99 finding was supported by cited reconstructions by Jones et al. 1998, Pollack, Huang & Shen 1998, Crowley & Lowery 2000 and Briffa 2000, using differing data and methods. The Jones et al. and Briffa reconstructions were overlaid with the MBH99 reconstruction in Figure 2.21 of the IPCC report.","Michael E. Mann, Raymond S. Bradley and Malcolm K. Hughes","Who wrote the paper that the ""Millennial Northern Hemisphere temperature reconstruction"" graph was based on?","Who were the authors of the 1999 paper that featured the ""hockey stick graph"" in the third assessment report (TAR)?",0.39919437586693013,"Who authored the 1999 paper that featured the ""hockey stick graph"" in the third assessment report?",0.3793965224174929,"Who were the authors of the 1999 paper that created the ""hockey stick graph"" featured in the IPCC Third Assessment Report?",0.36991969276407577,"Who were the authors of the 1999 paper that created the ""hockey stick graph""?",0.3316409669717209
"The university experienced its share of student unrest during the 1960s, beginning in 1962, when students occupied President George Beadle's office in a protest over the university's off-campus rental policies. After continued turmoil, a university committee in 1967 issued what became known as the Kalven Report. The report, a two-page statement of the university's policy in ""social and political action,"" declared that ""To perform its mission in the society, a university must sustain an extraordinary environment of freedom of inquiry and maintain an independence from political fashions, passions, and pressures."" The report has since been used to justify decisions such as the university's refusal to divest from South Africa in the 1980s and Darfur in the late 2000s.",the university's off-campus rental policies.,What made the student decide to occupy the president's office in protest?,What were students protesting in 1962 when they occupied President George Beadle's office?,0.49954981719282016,What were students protesting when they occupied President George Beadle's office in 1962?,0.5207701911531931,What was the catalyst for the student protests and the eventual creation of the Kalven Report at the university in the 1960s?,0.2821564234289337,What were the students protesting about in 1962?,0.3347317108792029
"Lake Constance consists of three bodies of water: the Obersee (""upper lake""), the Untersee (""lower lake""), and a connecting stretch of the Rhine, called the Seerhein (""Lake Rhine""). The lake is situated in Germany, Switzerland and Austria near the Alps. Specifically, its shorelines lie in the German states of Bavaria and Baden-Württemberg, the Austrian state of Vorarlberg, and the Swiss cantons of Thurgau and St. Gallen. The Rhine flows into it from the south following the Swiss-Austrian border. It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.",Alps,What mountainous region is Lake Constance by?,What mountain range is Lake Constance near?,0.7057909685110441,Where are Lake Constance and its shorelines located near?,0.3535648764984785,What mountain range is Lake Constance situated near?,0.6192006485632174,"Sure, here are the questions based on the given context and answers:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. In which mountain range is Lake Constance located?",0.0996846279584574
"Europe's expansion into territorial imperialism was largely focused on economic growth by collecting resources from colonies, in combination with assuming political control by military and political means. The colonization of India in the mid-18th century offers an example of this focus: there, the ""British exploited the political weakness of the Mughal state, and, while military activity was important at various times, the economic and administrative incorporation of local elites was also of crucial significance"" for the establishment of control over the subcontinent's resources, markets, and manpower. Although a substantial number of colonies had been designed to provide economic profit and to ship resources to home ports in the seventeenth and eighteenth centuries, Fieldhouse suggests that in the nineteenth and twentieth centuries in places such as Africa and Asia, this idea is not necessarily valid:",the Mughal state,Who did Britain exploit in India?,What political weakness did the British exploit in India during the mid-18th century?,0.28582303917073076,What political weakness did the British exploit during the colonization of India in the mid-18th century?,0.21319392560287587,What was the political state of the Mughal state during the colonization of India in the mid-18th century?,0.1029484774611114,"Sure, here are the questions based on the given context and answers:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. What was the Mughal state's political weakness that the British exploited in the mid-18th century?",0.05011867298719264
"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",Carolina Panthers,Which NFL team represented the NFC at Super Bowl 50?,Which team did the Denver Broncos defeat in Super Bowl 50?,0.5241860185256019,Which team did the Denver Broncos defeat in Super Bowl 50?,0.5241860185256019,Who did the Denver Broncos defeat in Super Bowl 50 to win their third Super Bowl title?,0.2645839109186923,"Sure! Here's a question based on the context and answer:

Question: Which team did the Denver Broncos defeat in Super Bowl 50?

The answer, of course, is the Carolina Panthers.",0.18482566195116407
"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by-play and Ed McCaffrey on color commentary. In North Carolina, WBT (1110 AM) will carry the game, with Mick Mixon on play-by-play and Eugene Robinson and Jim Szoke on color commentary. WBT will also simulcast the game on its sister station WBT-FM (99.3 FM), which is based in Chester, South Carolina. As KOA and WBT are both clear-channel stations, the local broadcasts will be audible over much of the western United States after sunset (for Denver) and the eastern United States throughout the game (for Carolina). In accordance with contractual rules, the rest of the stations in the Broncos and Panthers radio networks will either carry the Westwood One feed or not carry the game at all.","Chester, South Carolina",In what city is WBT-FM located?,Where is WBT-FM based?,0.36126466567112525,Where is WBT-FM based?,0.36126466567112525,"What is the location of WBT-FM, the radio station that will simulcast the game in addition to WBT?",0.16726508738271695,"What is the location of WBT-FM, the station that will simulcast the game in North Carolina?",0.17649614676100261
